SUPER DO POVO;-;152530;MANTEIGA VALEMILK 200G;3,00%
SUPER DO POVO;-;152545;MANTEIGA VALEMILK 500G;3,00%
SUPER DO POVO;-;252130;MISTURA DE REQUEIJAO LIGHT DIPAULA 200G;3,00%
SUPER DO POVO;-;252030;MISTURA DE REQUEIJAO TRAD DIPAULA 200G;3,00%
SUPER DO POVO;-;153035;NATA COM SAL VALEMILK 200G;3,00%
SUPER DO POVO;-;120345;QUEIJO COALHO LIGHT VALEMILK 500G;3,00%
SUPER DO POVO;-;120245;QUEIJO COALHO TRAD VALEMILK 500G;3,00%
SUPER DO POVO;-;120445;QUEIJO COALHO ZERO LAC VALEMILK 500G;3,00%
SUPER DO POVO;-;121135;QUEIJO MINAS FRESCAL LIGHT VALEMILK 250G;3,00%
SUPER DO POVO;-;121035;QUEIJO MINAS FRESCAL TRAD VALEMILK 250G;3,00%
SUPER DO POVO;-;121235;QUEIJO MINAS FRESCAL ZERO VALEMILK 250G;3,00%
SUPER DO POVO;-;122090;QUEIJO MUSSARELA VALEMILK 4KG;3,00%
SUPER DO POVO;-;152130;REQUEIJAO LIGHT VALEMILK 200G;3,00%
SUPER DO POVO;-;152150;REQUEIJAO LIGHT VALEMILK 400G;3,00%
SUPER DO POVO;-;152030;REQUEIJAO TRAD VALEMILK 200G;3,00%
SUPER DO POVO;-;152050;REQUEIJAO TRAD VALEMILK 400G;3,00%
SUPER DO POVO;-;152230;REQUEIJAO ZERO LAC VALEMILK 200G;3,00%
SUPER DO POVO;-;121835;RICOTA VALEMILK 200G;3,00%
REDE UNIFORCA;DATERRA (IPU);168054;BEBIDA LACTEA BANDEJA MORANGO VALEMILK 540G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);168054;BEBIDA LACTEA BANDEJA MORANGO VALEMILK 540G;5,00%
REDE UNIFORCA;SANTA EDWIRGES;168054;BEBIDA LACTEA BANDEJA MORANGO VALEMILK 540G;3,00%
REDE UNIFORCA;DATERRA (IPU);168454;BEBIDA LACTEA BANDEJA SF/MOR VALEMILK 540G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);168454;BEBIDA LACTEA BANDEJA SF/MOR VALEMILK 540G;5,00%
REDE UNIFORCA;SANTA EDWIRGES;168454;BEBIDA LACTEA BANDEJA SF/MOR VALEMILK 540G;3,00%
REDE UNIFORCA;DATERRA (IPU);138265;BEBIDA LACTEA DE AMEIXA VALEMILK 900G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);138265;BEBIDA LACTEA DE AMEIXA VALEMILK 900G;5,00%
REDE UNIFORCA;SANTA EDWIRGES;138265;BEBIDA LACTEA DE AMEIXA VALEMILK 900G;3,00%
REDE UNIFORCA;DATERRA (IPU);138365;BEBIDA LACTEA DE GOIABA VALEMILK 900G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);138365;BEBIDA LACTEA DE GOIABA VALEMILK 900G;5,00%
REDE UNIFORCA;SANTA EDWIRGES;138365;BEBIDA LACTEA DE GOIABA VALEMILK 900G;3,00%
REDE UNIFORCA;DATERRA (IPU);138465;BEBIDA LACTEA DE GRAVIOLA VALEMILK 900G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);138465;BEBIDA LACTEA DE GRAVIOLA VALEMILK 900G;5,00%
REDE UNIFORCA;SANTA EDWIRGES;138465;BEBIDA LACTEA DE GRAVIOLA VALEMILK 900G;3,00%
REDE UNIFORCA;DATERRA (IPU);238070;BEBIDA LACTEA DE MORANGO DIPAULA 900G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);238070;BEBIDA LACTEA DE MORANGO DIPAULA 900G;5,00%
REDE UNIFORCA;SANTA EDWIRGES;238070;BEBIDA LACTEA DE MORANGO DIPAULA 900G;3,00%
REDE UNIFORCA;DATERRA (IPU);138070;BEBIDA LACTEA DE MORANGO VALEMILK 900G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);138070;BEBIDA LACTEA DE MORANGO VALEMILK 900G;5,00%
REDE UNIFORCA;SANTA EDWIRGES;138070;BEBIDA LACTEA DE MORANGO VALEMILK 900G;3,00%
REDE UNIFORCA;DATERRA (IPU);138170;BEBIDA LACTEA DE SALADA DE FRUTA VALEMILK 900G;5,00%
REDE UNIFORCA;DATERRA (ITAPIPOCA);138170;BEBIDA LACTEA DE SALADA DE FRUTA VALEMILK 900G;5,00%
